ID,Vietnamese_Text,English_Text,Vietnamese_Female_Sound,Vietnamese_Male_Sound
lesson_vi2_l1_d0,"Xin chào, tôi là Lan.","Hello, I'm Lan.",,
lesson_vi2_l1_d1,"Chào chị, tôi là Minh. Tôi không phải là người ở đây.","Hello, I'm Minh. I'm not from around here.",,
lesson_vi2_l1_d2,Vậy anh có một câu hỏi cho tôi không?,So do you have a question for me?,,
lesson_vi2_l1_d3,"Dạ có, tôi và cô bạn của tôi đã đi lạc, chúng tôi sẽ đi đâu để về đó ạ?","Yes, my friend and I already got lost — where should we go to get back there?",,
lesson_vi2_l2_d0,Người này là ai vậy?,Who is this person?,,
lesson_vi2_l2_d1,"Đây là em gái tôi, nó tên là Mai.",This is my younger sister; her name is Mai.,,
lesson_vi2_l2_d2,"À, cho chị hỏi, em có biết ông của em đang ở đâu không?","Ah, let me ask — do you know where your grandfather is?",,
lesson_vi2_l2_d3,"Dạ biết, ông nói với em là ông đang ở nhà, chắc đang nghỉ rồi.","Yes, he told me he's at home, probably already resting.",,
lesson_vi2_l2_d4,Vậy cậu có thể gọi ông thử xem sao.,Then could you try calling him and see.,,
lesson_vi2_l2_d5,"Được, để em gọi lại cho ông liền, chắc ông cũng thế thôi.","Okay, let me call him back right away — he's probably the same as usual.",,
lesson_vi2_l3_d0,Chuyện gì vậy? Anh ấy đang làm gì trong đó?,What's going on? What's he doing in there?,,
lesson_vi2_l3_d1,"Ảnh đang tìm cái áo nào đó mà ảnh muốn mặc, nhưng chưa thấy.","He's looking for some shirt he wants to wear, but hasn't found it.",,
lesson_vi2_l3_d2,"Để tôi ra tìm giúp, khi nào tìm được thì gọi anh nghen.",Let me go out and help look; when I find it I'll call you.,,
lesson_vi2_l3_d3,"Cảm ơn, những lúc như vầy chỉ có bạn mới giúp được thôi.",Thanks — at times like this only a friend like you would help.,,
lesson_vi2_l4_d0,Giờ này họ về chưa? Cả nhóm đi đâu vậy?,Have they come home yet? Where did the whole group go?,,
lesson_vi2_l4_d1,"Họ vào thành phố rồi, các bạn ấy nói là đi ăn thôi.",They went into the city; they said they're just going to eat.,,
lesson_vi2_l4_d2,"Vậy à, tôi cứ nghĩ họ còn ở công ty, không thấy ai nhắn tin cả.","Oh really, I thought they were still at the office — nobody texted at all.",,
lesson_vi2_l4_d3,"Nếu thật sự đói bụng thì họ cũng sẽ về sớm thôi, đừng lo.","If they're really hungry then they'll come back soon too, don't worry.",,
lesson_vi2_l5_d0,"Mình cần nói với bạn một việc, được không?","I need to tell you something, is that okay?",,
lesson_vi2_l5_d1,"À, chuyện gì vậy? Nghe rất nghiêm trọng.","Oh, what is it? Sounds very serious.",,
lesson_vi2_l5_d2,"Cũng không có gì to tát, chỉ là mình chưa xin phép đi công tác thôi. Vì việc này rất cần thiết nên mình phải đi từ tuần tới.","It's nothing huge, I just haven't asked for permission to go on a business trip yet. Because this matter is very necessary, I have to go starting next week.",,
lesson_vi2_l5_d3,"Đúng rồi, việc đó quan trọng chứ, mình lên nhà xin phép sếp giúp bạn nữa nè.","That's right, that matter is important — I'll go up and ask the boss for you too.",,
lesson_vi2_l6_d0,"Tớ nghe mẹ tớ nói mọi chuyện rồi, bạn đừng lo quá nhiều.",I heard my mom talk about the whole thing already — don't worry too much.,,
lesson_vi2_l6_d1,"Cảm ơn bạn, tớ chỉ sợ mọi thứ không tốt hơn thôi.",Thanks — I'm just afraid things won't get better.,,
lesson_vi2_l6_d2,"Hãy tin tớ đi, mọi chuyện sẽ ổn, tớ sẽ giúp bạn tìm cách.","Trust me, everything will be fine, I'll help you find a way.",,
lesson_vi2_l6_d3,"Chết thật, đầu tớ đau quá vì nghĩ nhiều rồi, nên mình nghỉ ngơi một chút đi.","Oh no, my head hurts so much from thinking too much, so let's rest a bit.",,
lesson_vi2_l7_d0,Trước đây bà có hay kể chuyện cho cháu nghe không?,Did grandma often tell you stories before?,,
lesson_vi2_l7_d1,"Có chứ, bố tao — à không, bố tớ hay kể nhất là chuyện về công việc hồi xưa của bà.","Yeah, my dad — oh sorry, my dad — often told stories most about grandma's old work.",,
