ID,Vietnamese_Text,English_Text,Vietnamese_Female_Sound,Vietnamese_Male_Sound
slang_trời ơi,trời ơi,oh my god / for heaven’s sake,,
slang_trời đất ơi,trời đất ơi,good heavens — bigger version of trời ơi,,
slang_má ơi,má ơi,oh mum! — Southern exclamation of surprise,,
slang_bó tay,bó tay,I give up / nothing I can do,,
slang_hết hồn,hết hồn,that scared the life out of me,,
slang_mắc cười,mắc cười,funny (Southern; the North says buồn cười),,
slang_quá trời,quá trời,loads / tons — Southern,,
slang_quá xá,quá xá,"really, very — Southern",,
slang_xạo,xạo,to talk rubbish / to fib — Southern,,
slang_kệ nó,kệ nó,never mind it / leave it,,
slang_thôi kệ,thôi kệ,forget it then,,
slang_chán,chán,fed up / boring,,
slang_mệt quá,mệt quá,so tired / worn out,,
slang_đã,đã,satisfying — đã quá! = that hit the spot,,
slang_ghê,ghê,"creepy, or “intensely” — ngon ghê = seriously tasty",,
slang_xỉn,xỉn,drunk,,
slang_nhậu,nhậu,to drink and eat with mates — a whole social institution,,
slang_lẹ lên,lẹ lên,hurry up — Southern (the North says nhanh lên),,
slang_dữ,dữ,"fierce / intense — dữ vậy? = whoa, that much?",,
slang_hổng,hổng,không said the Southern way,,
slang_trùm,trùm,the boss at something / top dog,,
slang_gà,gà,a noob — literally “chicken”,,
slang_ủa,ủa,"huh? / hang on — surprise or confusion, Southern",,
slang_ê,ê,"oi / hey — getting attention, fine with mates, rude to elders",,
slang_ui,ui,ooh / oops — small surprise,,
slang_eo ơi,eo ơi,"ugh / eww — disgust, more Northern",,
slang_gớm,gớm,"yuck — or “my word”, said dryly",,
slang_thôi xong,thôi xong,well that’s that / it’s ruined now,,
slang_tiêu rồi,tiêu rồi,we’re done for,,
slang_chết dở,chết dở,in real trouble now,,
slang_khổ thân,khổ thân,poor thing / bless him,,
slang_rõ khổ,rõ khổ,poor sod — Northern,,
slang_u là trời,u là trời,"whoaa — playful, young, half-joking",,
slang_căng,căng,"tense / heavy — a situation, not a person",,
slang_đỉnh,đỉnh,top-tier / brilliant,,
slang_xịn,xịn,the real thing / proper quality,,
slang_chất,chất,cool / classy,,
slang_hết sẩy,hết sẩy,fantastic — Southern,,
slang_bá cháy,bá cháy,amazing / off the charts — Southern,,
slang_số dzách,số dzách,"number one — old Southern slang, borrowed from Cantonese",,
slang_hết nước chấm,hết nước chấm,unbeatable — lit. “no dipping sauce left”,,
slang_tới bến,tới bến,all the way / to the bitter end,,
slang_cày,cày,to grind / graft — also to binge-watch,,
slang_cháy túi,cháy túi,skint / cleaned out,,
slang_hớ,hớ,to get done / overpay without realising,,
slang_bèo,bèo,dirt cheap / paltry,,
slang_chùa,chùa,"free, on the house — của chùa = someone else’s money",,
slang_dzô,dzô,"cheers! — the shout when glasses go up, Southern",,
slang_mồi,mồi,the food you drink with,,
slang_quẩy,quẩy,to party hard / let loose,,
slang_tám,tám,to natter / gossip — Southern,,
slang_buôn dưa lê,buôn dưa lê,"to gossip — Northern, lit. “selling melons”",,
slang_hóng,hóng,to lurk / wait for the next bit of news,,
slang_drama,drama,drama — borrowed straight from English,,
slang_gato,gato,"jealous — from ghen ăn tức ở, and it sounds like the cake",,
slang_chốt đơn,chốt đơn,done and dusted / sealed — from online selling,,
slang_khum,khum,a cutesy spelling of không,,
slang_gòy,gòy,a cutesy spelling of rồi,,
slang_dzậy,dzậy,"Southern spelling of vậy, the way it actually sounds",,
slang_gấu,gấu,boyfriend or girlfriend — lit. “bear”,,
slang_cua,cua,to chase someone — lit. “crab”,,
slang_đổ,đổ,to fall for someone — lit. to topple,,
