language,rank,headword,english_definition,english_translation,lemma,frequency,frequency_unit,pos,pronunciation,romanization,source,source_id,source_quality,milestone,word_unit,source_rank,annotation_source,translation_lemma,translation_method,translation_quality,translation_source,definition_lemma,definition_method,definition_source
ja,1,うん,"yeah, uh-huh, mhm (an interjection expressing agreement)","yeah, uh-huh, mhm (an interjection expressing agreement)",うん,115109,count,名詞-数詞 | 感動詞-一般,ウン,,https://www2.ninjal.ac.jp/conversation/cejc/cejc-wc.html,cejc_202209,measured_spoken,500,short_unit_lemma,1,https://www2.ninjal.ac.jp/conversation/cejc/cejc-wc.html,うん,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Japanese/,うん,source_dictionary_gloss,https://kaikki.org/dictionary/Japanese/
ja,2,だ,"Following parts of speech that do not inflect by themselves, including nouns, na-adjectives, adverbs and postpositional phrases; to be; should; be obliged to; ought to; Some forms also follow inflectable words","Following parts of speech that do not inflect by themselves, including nouns, na-adjectives, adverbs and postpositional phrases; to be; should; be obliged to; ought to; Some forms also follow inflectable words",だ,115060,count,副詞 | 助動詞,ダ,,https://www2.ninjal.ac.jp/conversation/cejc/cejc-wc.html,cejc_202209,measured_spoken,500,short_unit_lemma,2,https://www2.ninjal.ac.jp/conversation/cejc/cejc-wc.html,だ,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Japanese/,だ,source_dictionary_gloss,https://kaikki.org/dictionary/Japanese/
ja,3,の,"genitive case marker linking two nouns; indicates possession, where the preceding noun owns or is the agent of the following noun: of, -’s; indicates identity or apposition, where the preceding noun and the following noun refer to the same entity (often a title or category followed by a specific name); a noun, adverb, or phrase modifier, where the preceding noun defines the type, material, location, or attribute of the following noun","genitive case marker linking two nouns; indicates possession, where the preceding noun owns or is the agent of the following noun: of, -’s; indicates identity or apposition, where the preceding noun and the following noun refer to the same entity (often a title or category followed by a specific name); a noun, adverb, or phrase modifier, where the preceding noun defines the type, material, location, or attribute of the following noun",の,107623,count,助詞-格助詞 | 助詞-準体助詞 | 助詞-終助詞,ノ,,https://www2.ninjal.ac.jp/conversation/cejc/cejc-wc.html,cejc_202209,measured_spoken,500,short_unit_lemma,6,https://www2.ninjal.ac.jp/conversation/cejc/cejc-wc.html,の,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Japanese/,の,source_dictionary_gloss,https://kaikki.org/dictionary/Japanese/
ja,4,か,marks a statement as a question; used to make suggestions: shall we … ?; could we … ?; used to issue commands: would you … !; will you … !; marks indefiniteness: some,marks a statement as a question; used to make suggestions: shall we … ?; could we … ?; used to issue commands: would you … !; will you … !; marks indefiniteness: some,か,62932,count,助詞-副助詞 | 助詞-終助詞,カ,,https://www2.ninjal.ac.jp/conversation/cejc/cejc-wc.html,cejc_202209,measured_spoken,500,short_unit_lemma,10,https://www2.ninjal.ac.jp/conversation/cejc/cejc-wc.html,か,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Japanese/,か,source_dictionary_gloss,https://kaikki.org/dictionary/Japanese/
ja,5,ね,"emphasis and question marker particle; asks for confirmation; right?; eh?; isn't it, innit?; particle that softens a request, or conveys friendliness; okay?; please?; meaningless filler particle, which may also have a softening effect when introducing information; well...; you see","emphasis and question marker particle; asks for confirmation; right?; eh?; isn't it, innit?; particle that softens a request, or conveys friendliness; okay?; please?; meaningless filler particle, which may also have a softening effect when introducing information; well...; you see",ね,62223,count,助詞-終助詞,ネ,,https://www2.ninjal.ac.jp/conversation/cejc/cejc-wc.html,cejc_202209,measured_spoken,500,short_unit_lemma,3,https://www2.ninjal.ac.jp/conversation/cejc/cejc-wc.html,ね,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Japanese/,ね,source_dictionary_gloss,https://kaikki.org/dictionary/Japanese/
ja,6,た,indicates a past or completed action; indicates the realization of a situation that has not realized; indicates the resulting state of an action; at the end of a sentence:,indicates a past or completed action; indicates the realization of a situation that has not realized; indicates the resulting state of an action; at the end of a sentence:,た,56273,count,助動詞,タ,,https://www2.ninjal.ac.jp/conversation/cejc/cejc-wc.html,cejc_202209,measured_spoken,500,short_unit_lemma,4,https://www2.ninjal.ac.jp/conversation/cejc/cejc-wc.html,た,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Japanese/,た,source_dictionary_gloss,https://kaikki.org/dictionary/Japanese/
ja,7,で,"at, in:; indicating a location or duration at which something happens; indicating the carriage of something; with, by, using: indicating the means by or with which something happens","at, in:; indicating a location or duration at which something happens; indicating the carriage of something; with, by, using: indicating the means by or with which something happens",で,54912,count,助詞-接続助詞 | 助詞-格助詞 | 助詞-終助詞 | 接続詞,デ,,https://www2.ninjal.ac.jp/conversation/cejc/cejc-wc.html,cejc_202209,measured_spoken,500,short_unit_lemma,11,https://www2.ninjal.ac.jp/conversation/cejc/cejc-wc.html,で,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Japanese/,で,source_dictionary_gloss,https://kaikki.org/dictionary/Japanese/
ja,8,て,"alternative form of って (tte, quotative particle); used after ん (n); used anywhere","alternative form of って (tte, quotative particle); used after ん (n); used anywhere",て,54502,count,助詞-接続助詞,テ,,https://www2.ninjal.ac.jp/conversation/cejc/cejc-wc.html,cejc_202209,measured_spoken,500,short_unit_lemma,5,https://www2.ninjal.ac.jp/conversation/cejc/cejc-wc.html,て,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Japanese/,て,source_dictionary_gloss,https://kaikki.org/dictionary/Japanese/
ja,9,そう,"so, like that, in such a way, such; seem, seem like, appear; apparently, heard that (relating something heard from someone or somewhere else)","so, like that, in such a way, such; seem, seem like, appear; apparently, heard that (relating something heard from someone or somewhere else)",そう,52236,count,副詞 | 名詞-助動詞語幹 | 形状詞-助動詞語幹,ソウ,,https://www2.ninjal.ac.jp/conversation/cejc/cejc-wc.html,cejc_202209,measured_spoken,500,short_unit_lemma,7,https://www2.ninjal.ac.jp/conversation/cejc/cejc-wc.html,そう,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Japanese/,そう,source_dictionary_gloss,https://kaikki.org/dictionary/Japanese/
ja,10,と,"with; marks a companion, partner, etc. that an action is done with; can be optionally attached to some adverbs to (slightly) highlight the explanatory nature of the adverb; marks the result of a transformation; (turn) to, into; follows a phrase or clause describing the detail, content or manner of an action; commonly used to mark dialogue or thoughts","with; marks a companion, partner, etc. that an action is done with; can be optionally attached to some adverbs to (slightly) highlight the explanatory nature of the adverb; marks the result of a transformation; (turn) to, into; follows a phrase or clause describing the detail, content or manner of an action; commonly used to mark dialogue or thoughts",と,41750,count,副詞 | 助詞-接続助詞 | 助詞-格助詞 | 感動詞-フィラー | 接続詞,ト,,https://www2.ninjal.ac.jp/conversation/cejc/cejc-wc.html,cejc_202209,measured_spoken,500,short_unit_lemma,17,https://www2.ninjal.ac.jp/conversation/cejc/cejc-wc.html,と,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Japanese/,と,source_dictionary_gloss,https://kaikki.org/dictionary/Japanese/
