language,rank,headword,english_definition,english_translation,lemma,frequency,frequency_unit,pos,pronunciation,romanization,source,source_id,source_quality,milestone,word_unit,source_rank,annotation_source,translation_lemma,translation_method,translation_quality,translation_source,definition_lemma,definition_method,definition_source
th,1,ฉัน,a first-person pronoun used by anyone when addressing a person of equal or lower status; as; like; as if; as; like; to eat; to drink; to take; to consume,a first-person pronoun used by anyone when addressing a person of equal or lower status; as; like; as if; as; like; to eat; to drink; to take; to consume,,1354898,count,,,,https://github.com/orgtre/top-open-subtitles-sentences/blob/main/bld/top_words/th_top_words.csv,orgtre_opensubtitles2018_th,media_proxy,500,segmented_word,1,,ฉัน,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Thai/,ฉัน,source_dictionary_gloss,https://kaikki.org/dictionary/Thai/
th,2,ไม่,neither; nor; no; not; no,neither; nor; no; not; no,,1351728,count,,,,https://github.com/orgtre/top-open-subtitles-sentences/blob/main/bld/top_words/th_top_words.csv,orgtre_opensubtitles2018_th,media_proxy,500,segmented_word,2,,ไม่,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Thai/,ไม่,source_dictionary_gloss,https://kaikki.org/dictionary/Thai/
th,3,จะ,used to introduce alternatives: whether; either; etc; used to indicate a future tense: will; would; to be to; to be about to; to be going to; etc; almost; nearly,used to introduce alternatives: whether; either; etc; used to indicate a future tense: will; would; to be to; to be about to; to be going to; etc; almost; nearly,,966926,count,,,,https://github.com/orgtre/top-open-subtitles-sentences/blob/main/bld/top_words/th_top_words.csv,orgtre_opensubtitles2018_th,media_proxy,500,segmented_word,3,,จะ,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Thai/,จะ,source_dictionary_gloss,https://kaikki.org/dictionary/Thai/
th,4,คุณ,"a second or third person pronoun, used out of respect; attribute; characteristic; property; benefit; interest; use; magic; black magic; black art; occult; supernatural power","a second or third person pronoun, used out of respect; attribute; characteristic; property; benefit; interest; use; magic; black magic; black art; occult; supernatural power",,947554,count,,,,https://github.com/orgtre/top-open-subtitles-sentences/blob/main/bld/top_words/th_top_words.csv,orgtre_opensubtitles2018_th,media_proxy,500,segmented_word,4,,คุณ,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Thai/,คุณ,source_dictionary_gloss,https://kaikki.org/dictionary/Thai/
th,5,ที่,at; to; on the site of; within; amidst; at the location of; for; during; at the time of; relative pronoun; that; which; that which; who; whom; where; when,at; to; on the site of; within; amidst; at the location of; for; during; at the time of; relative pronoun; that; which; that which; who; whom; where; when,,893821,count,,,,https://github.com/orgtre/top-open-subtitles-sentences/blob/main/bld/top_words/th_top_words.csv,orgtre_opensubtitles2018_th,media_proxy,500,segmented_word,5,,ที่,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Thai/,ที่,source_dictionary_gloss,https://kaikki.org/dictionary/Thai/
th,6,ได้,"to get; to obtain; to receive; used before a verb to indicate that one has done or has an opportunity to do the action; used after a verb to express that the action can be or has been done; used to express a range of emotions, including acceptance, agreement, permission, anger, reproof, resignation, etc","to get; to obtain; to receive; used before a verb to indicate that one has done or has an opportunity to do the action; used after a verb to express that the action can be or has been done; used to express a range of emotions, including acceptance, agreement, permission, anger, reproof, resignation, etc",,749303,count,,,,https://github.com/orgtre/top-open-subtitles-sentences/blob/main/bld/top_words/th_top_words.csv,orgtre_opensubtitles2018_th,media_proxy,500,segmented_word,6,,ได้,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Thai/,ได้,source_dictionary_gloss,https://kaikki.org/dictionary/Thai/
th,7,ไป,to go; to move (away from the speaker); to leave; to depart; used to indicate motion away from the speaker's direction; used to indicate motion that still continues or that continues up to a certain point of time; too much,to go; to move (away from the speaker); to leave; to depart; used to indicate motion away from the speaker's direction; used to indicate motion that still continues or that continues up to a certain point of time; too much,,741989,count,,,,https://github.com/orgtre/top-open-subtitles-sentences/blob/main/bld/top_words/th_top_words.csv,orgtre_opensubtitles2018_th,media_proxy,500,segmented_word,7,,ไป,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Thai/,ไป,source_dictionary_gloss,https://kaikki.org/dictionary/Thai/
th,8,เธอ,"a second-person pronoun used to address a person of equal or lower status; a third-person pronoun used to refer to a person of equal or lower status, commonly feminine; an agentive referring to a monarch, chiefly used in royal titles; a third-person pronoun used to refer to another person out of endearment or respect","a second-person pronoun used to address a person of equal or lower status; a third-person pronoun used to refer to a person of equal or lower status, commonly feminine; an agentive referring to a monarch, chiefly used in royal titles; a third-person pronoun used to refer to another person out of endearment or respect",,669918,count,,,,https://github.com/orgtre/top-open-subtitles-sentences/blob/main/bld/top_words/th_top_words.csv,orgtre_opensubtitles2018_th,media_proxy,500,segmented_word,8,,เธอ,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Thai/,เธอ,source_dictionary_gloss,https://kaikki.org/dictionary/Thai/
th,9,มัน,"a third person pronoun used to refer to a non-human animal/animals: he, she, it, they, etc; a third person pronoun used to refer to an inanimate thing/things: it, they, etc; a third person pronoun used to refer to a child/children, younger person/persons, or person/persons of lower status: he, she, it, they, etc; a third person pronoun used to refer to anyone: he, she, it, they, etc","a third person pronoun used to refer to a non-human animal/animals: he, she, it, they, etc; a third person pronoun used to refer to an inanimate thing/things: it, they, etc; a third person pronoun used to refer to a child/children, younger person/persons, or person/persons of lower status: he, she, it, they, etc; a third person pronoun used to refer to anyone: he, she, it, they, etc",,665218,count,,,,https://github.com/orgtre/top-open-subtitles-sentences/blob/main/bld/top_words/th_top_words.csv,orgtre_opensubtitles2018_th,media_proxy,500,segmented_word,9,,มัน,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Thai/,มัน,source_dictionary_gloss,https://kaikki.org/dictionary/Thai/
th,10,ผม,a first person pronoun employed by a male when addressing any commoner; headhair,a first person pronoun employed by a male when addressing any commoner; headhair,,640710,count,,,,https://github.com/orgtre/top-open-subtitles-sentences/blob/main/bld/top_words/th_top_words.csv,orgtre_opensubtitles2018_th,media_proxy,500,segmented_word,10,,ผม,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Thai/,ผม,source_dictionary_gloss,https://kaikki.org/dictionary/Thai/
th,11,ของ,"of; belonging to; pertaining to; thing; item; article; stuff; matter; possession; belonging; property; someone or something that is owned or possessed; occult thing, magical thing; the magic or occult science itself","of; belonging to; pertaining to; thing; item; article; stuff; matter; possession; belonging; property; someone or something that is owned or possessed; occult thing, magical thing; the magic or occult science itself",,640608,count,,,,https://github.com/orgtre/top-open-subtitles-sentences/blob/main/bld/top_words/th_top_words.csv,orgtre_opensubtitles2018_th,media_proxy,500,segmented_word,11,,ของ,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Thai/,ของ,source_dictionary_gloss,https://kaikki.org/dictionary/Thai/
th,12,ว่า,"as; like; as if; as; that; as follows; as to; regarding; concerning; to say, to speak, to tell; to utter, to pronounce","as; like; as if; as; that; as follows; as to; regarding; concerning; to say, to speak, to tell; to utter, to pronounce",,635887,count,,,,https://github.com/orgtre/top-open-subtitles-sentences/blob/main/bld/top_words/th_top_words.csv,orgtre_opensubtitles2018_th,media_proxy,500,segmented_word,12,,ว่า,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Thai/,ว่า,source_dictionary_gloss,https://kaikki.org/dictionary/Thai/
th,13,แล้ว,"to end; to come to an end; to complete; to finish; Used at the end of a sentence to indicate completion of an action, or beginning of a new situation; Indicating an action completion","to end; to come to an end; to complete; to finish; Used at the end of a sentence to indicate completion of an action, or beginning of a new situation; Indicating an action completion",,612721,count,,,,https://github.com/orgtre/top-open-subtitles-sentences/blob/main/bld/top_words/th_top_words.csv,orgtre_opensubtitles2018_th,media_proxy,500,segmented_word,13,,แล้ว,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Thai/,แล้ว,source_dictionary_gloss,https://kaikki.org/dictionary/Thai/
th,14,เป็น,as; like; as if; to be; to get; to have; to experience; to suffer; used at the end of an expression to indicate that the person concerned can or knows how to do the related action,as; like; as if; to be; to get; to have; to experience; to suffer; used at the end of an expression to indicate that the person concerned can or knows how to do the related action,,575894,count,,,,https://github.com/orgtre/top-open-subtitles-sentences/blob/main/bld/top_words/th_top_words.csv,orgtre_opensubtitles2018_th,media_proxy,500,segmented_word,14,,เป็น,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Thai/,เป็น,source_dictionary_gloss,https://kaikki.org/dictionary/Thai/
th,15,นะ,"particle used to make a sentence seem softer, more persuasive or less abrupt; expresses a mild question isn't it?","particle used to make a sentence seem softer, more persuasive or less abrupt; expresses a mild question isn't it?",,559674,count,,,,https://github.com/orgtre/top-open-subtitles-sentences/blob/main/bld/top_words/th_top_words.csv,orgtre_opensubtitles2018_th,media_proxy,500,segmented_word,15,,นะ,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Thai/,นะ,source_dictionary_gloss,https://kaikki.org/dictionary/Thai/
th,16,อะไร,what?; something; anything; whatever,what?; something; anything; whatever,,524899,count,,,,https://github.com/orgtre/top-open-subtitles-sentences/blob/main/bld/top_words/th_top_words.csv,orgtre_opensubtitles2018_th,media_proxy,500,segmented_word,16,,อะไร,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Thai/,อะไร,source_dictionary_gloss,https://kaikki.org/dictionary/Thai/
th,17,ก็,"used to indicate a consequence or result: so, thus, then, next, accordingly, etc; also; as well; used just for linking words or for starting or emphasising an expression","used to indicate a consequence or result: so, thus, then, next, accordingly, etc; also; as well; used just for linking words or for starting or emphasising an expression",,503254,count,,,,https://github.com/orgtre/top-open-subtitles-sentences/blob/main/bld/top_words/th_top_words.csv,orgtre_opensubtitles2018_th,media_proxy,500,segmented_word,17,,ก็,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Thai/,ก็,source_dictionary_gloss,https://kaikki.org/dictionary/Thai/
th,18,เรา,"a first person plural/singular pronoun employed when addressing a person of equal or lower status; I, we; a second person pronoun employed when addressing a person of lower status; you","a first person plural/singular pronoun employed when addressing a person of equal or lower status; I, we; a second person pronoun employed when addressing a person of lower status; you",,490193,count,,,,https://github.com/orgtre/top-open-subtitles-sentences/blob/main/bld/top_words/th_top_words.csv,orgtre_opensubtitles2018_th,media_proxy,500,segmented_word,18,,เรา,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Thai/,เรา,source_dictionary_gloss,https://kaikki.org/dictionary/Thai/
th,19,มี,having; with; to have; to own; to possess; to contain; to include; to consist of; to be composed of; to be; to exist; to come into existence; to happen; to occur; to take place,having; with; to have; to own; to possess; to contain; to include; to consist of; to be composed of; to be; to exist; to come into existence; to happen; to occur; to take place,,485687,count,,,,https://github.com/orgtre/top-open-subtitles-sentences/blob/main/bld/top_words/th_top_words.csv,orgtre_opensubtitles2018_th,media_proxy,500,segmented_word,19,,มี,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Thai/,มี,source_dictionary_gloss,https://kaikki.org/dictionary/Thai/
th,20,เขา,"he; she; they; I; oneself; one who is not on someone's part or side or is not a member of someone's group, entity, etc; hill; mountain","he; she; they; I; oneself; one who is not on someone's part or side or is not a member of someone's group, entity, etc; hill; mountain",,483401,count,,,,https://github.com/orgtre/top-open-subtitles-sentences/blob/main/bld/top_words/th_top_words.csv,orgtre_opensubtitles2018_th,media_proxy,500,segmented_word,20,,เขา,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Thai/,เขา,source_dictionary_gloss,https://kaikki.org/dictionary/Thai/
th,21,มา,to move or come (towards the speaker's direction); to arrive; used to indicate motion towards the speaker's direction; used to indicate motion that still continues or that continues up to a certain point of time; moon,to move or come (towards the speaker's direction); to arrive; used to indicate motion towards the speaker's direction; used to indicate motion that still continues or that continues up to a certain point of time; moon,,482705,count,,,,https://github.com/orgtre/top-open-subtitles-sentences/blob/main/bld/top_words/th_top_words.csv,orgtre_opensubtitles2018_th,media_proxy,500,segmented_word,21,,มา,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Thai/,มา,source_dictionary_gloss,https://kaikki.org/dictionary/Thai/
