ID,Cantonese_Text,English_Text,Cantonese_Female_Sound,Cantonese_Male_Sound
chat_yw_family_0_opener,返到嚟喇？瘦咗喎，食咗飯未呀？,You’re back? You’ve lost weight — have you eaten?,,
chat_yw_family_0_t0_them,煲咗湯，仲有餸。坐低先。,"I’ve got soup on, and dishes. Sit down first.",,
chat_yw_family_0_t0_you0,未食，婆婆。有咩食呀？,"Not yet, po-po. What is there?",,
chat_yw_family_0_t0_you1,食咗喇，唔使煮。,"I’ve eaten, don’t cook.",,
chat_yw_family_0_t0_you2,我唔肚餓。,I’m not hungry.,,
chat_yw_family_0_t1_them,咁乖。飲多碗啦，煲咗成朝。,Good boy. Have another bowl — it’s been on all morning.,,
chat_yw_family_0_t1_you0,婆婆煲嘅湯最好飲。,"Your soup’s the best, po-po.",,
chat_yw_family_0_t1_you1,唔該。,Thanks.,,
chat_yw_family_0_t1_you2,又係湯？,Soup again?,,
chat_yw_family_0_t2_them,得得得，我慢慢講。你學緊呀嘛。,"Fine, fine, I’ll go slow. You’re still learning after all.",,
chat_yw_family_0_t2_you0,我廣東話唔係好得，你講慢少少。,My Cantonese isn’t great — a bit slower.,,
chat_yw_family_0_t2_you1,嗯嗯。,"Mm, mm.",,
chat_yw_family_0_t2_you2,我聽唔明，算啦。,"I don’t understand, forget it.",,
chat_yw_family_0_t3_them,好好好，記得打電話。,"Good, good — remember to ring.",,
chat_yw_family_0_t3_you0,我遲啲再嚟探你。,I’ll come and see you again soon.,,
chat_yw_family_0_t3_you1,走喇。,Off.,,
chat_yw_family_0_t3_you2,唔知幾時再嚟。,Don’t know when I’ll be back.,,
chat_yw_family_1_opener,阿仔，依家做緊乜嘢工呀？,So — what work are you doing these days?,,
chat_yw_family_1_t0_them,種嘢？好呀，實淨過打工。人工得唔得？,Growing? Good — steadier than an office job. Pay all right?,,
chat_yw_family_1_t0_you0,種嘢嘅，喺個場度做。,Growing — I work at a facility.,,
chat_yw_family_1_t0_you1,冇嘢做。,Nothing.,,
chat_yw_family_1_t0_you2,講咗你都唔明。,You wouldn’t understand.,,
chat_yw_family_1_t1_them,夠使就得㗎喇。後生仔唔使急。,Enough is enough. No rush when you’re young.,,
chat_yw_family_1_t1_you0,夠使，唔算多。,"Enough to get by, not a lot.",,
chat_yw_family_1_t1_you1,唔關你事。,None of your business.,,
chat_yw_family_1_t1_you2,好多錢。,Loads.,,
chat_yw_family_1_t2_them,退咗休喇，得閒飲下茶咁囉。,Retired now. Just go for tea and that.,,
chat_yw_family_1_t2_you0,舅父你呢？仲返唔返工？,"What about you, kau-fu — still working?",,
chat_yw_family_1_t2_you1,係囉。,Yeah.,,
chat_yw_family_1_t2_you2,你都問完喇？,Done asking?,,
chat_yw_family_1_t3_them,好呀。你揀日子，我幾時都得。,Grand. You pick the day — I’m free whenever.,,
chat_yw_family_1_t3_you0,下次一齊去飲茶啦。,Let’s go for yum cha next time.,,
chat_yw_family_1_t3_you1,噉都幾好。,That’s nice.,,
chat_yw_family_1_t3_you2,我好忙。,I’m busy.,,
chat_yw_family_2_opener,欸，你返嚟都冇同我講嘅？,Oi — you came back and didn’t tell me?,,
chat_yw_family_2_t0_them,算啦。今晚出唔出嚟食嘢？,Fine. Coming out for food tonight?,,
chat_yw_family_2_t0_you0,啱啱返到咋，未嚟得切搵你。,Only just landed — haven’t had a chance yet.,,
chat_yw_family_2_t0_you1,唔記得咗。,Forgot.,,
chat_yw_family_2_t0_you2,關你咩事。,What’s it to you.,,
chat_yw_family_2_t1_them,落樓下嗰間，好耐冇食喇。,That place downstairs — haven’t been in ages.,,
chat_yw_family_2_t1_you0,出，去邊度？,Yeah — where?,,
chat_yw_family_2_t1_you1,睇下先。,We’ll see.,,
chat_yw_family_2_t1_you2,我要陪婆婆。,I have to stay with po-po.,,
chat_yw_family_2_t2_them,唔使啦，我嚟啦。你係客。,"No need, I’ll get it. You’re the guest.",,
chat_yw_family_2_t2_you0,我請啦，好耐冇見。,My treat — it’s been ages.,,
chat_yw_family_2_t2_you1,AA啦。,Let’s split it.,,
chat_yw_family_2_t2_you2,你請。,You’re paying.,,
chat_yw_family_2_t3_them,哈，記住呀。,Ha — I’ll hold you to it.,,
chat_yw_family_2_t3_you0,噉下次到我。,"Next one’s on me, then.",,
chat_yw_family_2_t3_you1,好呀。,Okay.,,
chat_yw_family_2_t3_you2,我唔係客。,I’m not a guest.,,
chat_yw_family_3_opener,今日婆婆問起你，你有冇打電話俾佢？,Po-po asked after you today. Have you rung her?,,
chat_yw_family_3_t0_them,打啦。佢淨係想聽下你把聲。,Do. She only wants to hear your voice.,,
chat_yw_family_3_t0_you0,未，今晚打。,Not yet — I’ll ring tonight.,,
chat_yw_family_3_t0_you1,打過喇。,Already did.,,
chat_yw_family_3_t0_you2,我唔知講咩好。,I don’t know what to say to her.,,
chat_yw_family_3_t1_them,佢唔介意㗎。你講錯佢仲開心。,She doesn’t mind. She likes it more when you get it wrong.,,
chat_yw_family_3_t1_you0,我廣東話講得唔好，同佢傾好辛苦。,My Cantonese isn’t good — talking to her is hard work.,,
chat_yw_family_3_t1_you1,佢又聽唔明我。,She doesn’t understand me anyway.,,
chat_yw_family_3_t1_you2,知喇知喇。,"All right, all right.",,
chat_yw_family_3_t2_them,好呀。你叫聲婆婆，問佢食咗飯未，就夠。,"All right. Say po-po, ask if she’s eaten — that’s enough.",,
chat_yw_family_3_t2_you0,噉你教我幾句先。,"Teach me a few lines first, then.",,
chat_yw_family_3_t2_you1,真係咩？,Really?,,
chat_yw_family_3_t2_you2,我盡量啦。,I’ll try.,,
chat_yw_family_3_t3_them,乖。佢實好開心。,Good lad. She’ll be made up.,,
chat_yw_family_3_t3_you0,得，我而家打。,Right — I’ll ring now.,,
chat_yw_family_3_t3_you1,聽日先啦。,Tomorrow.,,
chat_yw_family_3_t3_you2,你打俾佢啦。,You ring her.,,
chat_yw_food_0_opener,幾多位？,How many?,,
chat_yw_food_0_t0_them,入去坐，搭枱呀。,Go in and sit — you’ll be sharing a table.,,
chat_yw_food_0_t0_you0,兩位。,Two.,,
chat_yw_food_0_t0_you1,我哋有兩個人，想搵張枱坐。,There are two of us and we would like a table.,,
chat_yw_food_0_t0_you2,唔知，睇下先。,Not sure — let me have a look.,,
