ID,Vietnamese_Text,English_Text,Vietnamese_Female_Sound,Vietnamese_Male_Sound,Why
lesson_vi2_l1_4,Một người thôi.,Just the one person.,,,missing
lesson_vi2_l3_4,Bạn nói gì cơ?,"Sorry, what did you say?",,,missing
lesson_vi2_l4_4,"Rất tốt, cảm ơn.","Very good, thank you.",,,missing
lesson_vi2_l5_4,"Thôi, đủ rồi.","Right, that's enough.",,,missing
lesson_vi2_l6_4,Nghe hay đấy chứ.,"That sounds good, actually.",,,missing
lesson_vi2_l7_4,Tên anh là gì?,What's your name?,,,missing
lesson_vi2_l8_4,Tất cả bao nhiêu?,How much altogether?,,,missing
lesson_vi2_l9_4,Đường nào cũng được.,Either road's fine.,,,missing
lesson_vi2_l10_4,Mang theo nhé.,Bring it with you.,,,missing
lesson_vi2_l11_4,Chắc là được.,It should be fine.,,,missing
lesson_vi2_l12_4,Nhanh lên!,Hurry up!,,,missing
lesson_vi2_l13_4,Tự em làm được.,I can do it myself.,,,missing
lesson_vi2_l14_4,Cho vài cái.,"A few of them, please.",,,missing
lesson_vi2_l15_4,Chạy nhanh lên!,"Run, quick!",,,missing
lesson_vi2_l16_4,Quan trọng lắm.,It matters a lot.,,,missing
lesson_vi2_l17_4,Vui quá!,So much fun!,,,missing
lesson_vi2_l18_4,Đổi ý rồi à?,Changed your mind?,,,missing
lesson_vi2_l19_4,Để em kiểm tra lại.,Let me check it again.,,,missing
lesson_vi2_l20_4,Cuối cùng cũng xong.,Finally it is finished.,,,missing
lesson_vi2_l21_4,Em lo cho anh thật.,I really do worry about you.,,,missing
lesson_vi2_l22_4,Đọc kỹ giúp em.,Please read it carefully for me.,,,missing
lesson_vi2_l23_4,Kết quả tốt lắm.,The result is very good.,,,missing
lesson_vi2_l24_4,Em sẵn sàng rồi ạ.,I am ready now.,,,missing
lesson_vi2_l25_4,Chất lượng tốt lắm.,The quality is very good.,,,missing
lesson_vi2_l26_4,Nhờ anh việc này.,I am asking you to do this.,,,missing
lesson_vi2_l27_4,Kết thúc rồi ạ.,It has finished now.,,,missing
lesson_vi2_l28_4,Bao nhiêu tiền ạ?,How much money is it?,,,missing
lesson_vi2_l29_4,Suốt ngày như thế.,It is like that all day long.,,,missing
lesson_vi2_l30_4,Cười lên một cái.,Give us a smile.,,,missing
lesson_vi2_l31_4,Uống rượu không anh?,Would you like a drink?,,,missing
word_có thể,có thể,can / to be able to,,,missing
word_chúng ta,chúng ta,we/us (inclusive),,,missing
word_chúng tôi,chúng tôi,we / us (not you),,,missing
word_không thể,không thể,impossibly; impossible,,,missing
word_tất cả,tất cả,total,,,missing
word_thời gian,thời gian,time,,,missing
word_Việt Nam,Việt Nam,Vietnam (a country in Southeast Asia),,,missing
word_sử dụng,sử dụng,to use,,,missing
word_xin lỗi,xin lỗi,sorry,,,missing
word_bao giờ,bao giờ,"when, how long until",,,missing
word_tổ chức,tổ chức,organisation / to organise,,,missing
word_gia đình,gia đình,family,,,missing
word_bây giờ,bây giờ,now,,,missing
word_vấn đề,vấn đề,problem / issue,,,missing
word_làm việc,làm việc,to work,,,missing
word_thế giới,thế giới,world,,,missing
word_công ty,công ty,company,,,missing
word_phát triển,phát triển,"to develop, to expand; developed; development",,,missing
word_thực hiện,thực hiện,to realize; to carry out; to bring about,,,missing
word_hoạt động,hoạt động,"active; activity, event",,,missing
word_cảm ơn,cảm ơn,thank you,,,missing
word_xây dựng,xây dựng,"to build, to construct",,,missing
word_đầu tiên,đầu tiên,first,,,missing
word_bắt đầu,bắt đầu,to start,,,missing
word_một số,một số,a number of; some; several; certain,,,missing
word_đặc biệt,đặc biệt,special / especially,,,missing
word_đối với,đối với,regarding / towards,,,missing
word_thông tin,thông tin,information,,,missing
word_thành phố,thành phố,a city,,,missing
word_quan trọng,quan trọng,important,,,missing
word_Mỹ,Mỹ,America,,,missing
word_chương trình,chương trình,a program,,,missing
word_sản phẩm,sản phẩm,product,,,missing
word_thế nào,thế nào,how,,,missing
word_nói chuyện,nói chuyện,"to talk, to speak; conversation",,,missing
word_tiếp tục,tiếp tục,to continue; to keep on,,,missing
word_đầu tư,đầu tư,to invest,,,missing
word_tham gia,tham gia,"to participate, to take part",,,missing
word_tuy nhiên,tuy nhiên,"however, but, nevertheless",,,missing
word_hệ thống,hệ thống,a system; a franchise or chain,,,missing
word_bảo vệ,bảo vệ,to protect / security guard,,,missing
word_thay đổi,thay đổi,"to change, to alter, to modify",,,missing
word_trở thành,trở thành,to become; to turn into,,,missing
word_Chúa,Chúa,God; the Lord; synonym of Thiên Chủ (“Sakra”),,,missing
word_khả năng,khả năng,likelihood; ability; capability,,,missing
word_công việc,công việc,"work (labour, employment, occupation, job)",,,missing
word_cám ơn,cám ơn,to thank,,,missing
word_thị trường,thị trường,market,,,missing
word_doanh nghiệp,doanh nghiệp,a firm; enterprise; business,,,missing
word_phụ nữ,phụ nữ,woman (adult female human),,,missing
word_quan tâm,quan tâm,to care about; to be interested in,,,missing
word_quyết định,quyết định,to decide / decision,,,missing
word_kiểm tra,kiểm tra,to check or examine,,,missing
word_kinh tế,kinh tế,economy / economic,,,missing
word_sản xuất,sản xuất,to produce; production,,,missing
word_hôm nay,hôm nay,today,,,missing
word_cảnh sát,cảnh sát,police,,,missing
word_kế hoạch,kế hoạch,plan,,,missing
word_nghiên cứu,nghiên cứu,to research; to study intensively; a study,,,missing
word_an toàn,an toàn,safe / safety,,,missing
word_quản lý,quản lý,to manage / manager,,,missing
word_cuối cùng,cuối cùng,finally; at last; final; last; ultimate,,,missing
word_cuộc sống,cuộc sống,life,,,missing
word_thực sự,thực sự,"really, indeed, actually",,,missing
word_Hà Nội,Hà Nội,Hanoi,,,missing
word_xã hội,xã hội,society,,,missing
word_con người,con người,"human, human being",,,missing
word_yêu cầu,yêu cầu,to request / requirement,,,missing
word_huyện,huyện,a subdivision of a tỉnh (“province”) along with thành phố …,,,missing
word_chắc chắn,chắc chắn,Definitely / for sure,,,missing
word_khó khăn,khó khăn,"difficult, hard; difficulty",,,missing
word_cơ hội,cơ hội,opportunity,,,missing
word_hoàn toàn,hoàn toàn,completely,,,missing
word_dự án,dự án,project,,,missing
word_bất cứ,bất cứ,any; whatever,,,missing
word_khu vực,khu vực,area / zone,,,missing
word_kết quả,kết quả,result,,,missing
word_bác sĩ,bác sĩ,doctor,,,missing
word_người ta,người ta,people / they,,,missing
word_thiết kế,thiết kế,to design,,,missing
word_cảm thấy,cảm thấy,to feel,,,missing
word_công tác,công tác,work assignment,,,missing
word_trung tâm,trung tâm,center,,,missing
word_khách hàng,khách hàng,a customer or client,,,missing
word_điện thoại,điện thoại,telephone,,,missing
word_trở lại,trở lại,"to return, to come back, to go back",,,missing
word_sẵn sàng,sẵn sàng,to be willing; ready; prepared,,,missing
word_chuẩn bị,chuẩn bị,to prepare,,,missing
word_dịch vụ,dịch vụ,service,,,missing
word_hiệu quả,hiệu quả,efficacious; efficient; effective,,,missing
word_đại học,đại học,"university, college (institution of higher education that …",,,missing
word_hiện nay,hiện nay,"now, presently, nowadays",,,missing
word_khoa học,khoa học,scientific; academic; science,,,missing
word_chất lượng,chất lượng,quality,,,missing
word_thành công,thành công,to succeed; success,,,missing
word_Anh,Anh,alternative letter-case form of anh,,,missing
word_hỗ trợ,hỗ trợ,to support / assistance,,,missing
word_liên quan,liên quan,"a relevant connection, association, relation or affinity",,,missing
word_trả lời,trả lời,to answer; to reply; to respond,,,missing
word_đàn ông,đàn ông,man (adult male human),,,missing
word_lựa chọn,lựa chọn,to choose / choice,,,missing
word_duy nhất,duy nhất,only / unique,,,missing
word_làm ơn,làm ơn,to do (someone else) a favour,,,missing
word_bởi vì,bởi vì,because,,,missing
word_một cách,một cách,"Used other than figuratively or idiomatically: see một, cách",,,missing
word_con trai,con trai,boy (young male),,,missing
word_một chút,một chút,a little,,,missing
word_học sinh,học sinh,a pupil; a schoolchild/schoolkid; a student,,,missing
word_cung cấp,cung cấp,to supply; to provide,,,missing
word_vị trí,vị trí,location,,,missing
word_sinh viên,sinh viên,university student,,,missing
word_kết thúc,kết thúc,to end (in/with something); to come to an end,,,missing
word_quốc gia,quốc gia,"national; state, nation, country",,,missing
word_nhiệm vụ,nhiệm vụ,task / duty,,,missing
word_công nghệ,công nghệ,technology,,,missing
word_kinh doanh,kinh doanh,business / to do business,,,missing
word_con gái,con gái,girl (young female); daughter,,,missing
word_lý do,lý do,Alternative spelling of lí do,,,missing
word_cơ sở,cơ sở,foundation; base,,,missing
word_bao nhiêu,bao nhiêu,how much,,,missing
word_thật sự,thật sự,really / truly,,,missing
word_trường hợp,trường hợp,"a case, scenario or situation",,,missing
word_quy định,quy định,regulation / rule,,,missing
word_đơn vị,đơn vị,unit (part of whole),,,missing
word_ồ,ồ,oh! (exclamation),,,missing
word_văn hoá,văn hoá,culture; primary and secondary education,,,missing
word_Trung Quốc,Trung Quốc,Chinese,,,missing
word_xuất hiện,xuất hiện,to appear; to become visible,,,missing
word_cơ quan,cơ quan,a government institution,,,missing
word_thậm chí,thậm chí,even,,,missing
word_đánh giá,đánh giá,to evaluate or estimate the price; to evaluate,,,missing
word_ngân hàng,ngân hàng,bank,,,missing
word_du lịch,du lịch,travel / tourism,,,missing
word_tuyệt vời,tuyệt vời,great,,,missing
word_giải quyết,giải quyết,to resolve,,,missing
word_đào tạo,đào tạo,to vocationally train,,,missing
word_quan hệ,quan hệ,clipping of quan hệ tình dục (“to have sex”),,,missing
word_thiết bị,thiết bị,"a piece of equipment such as a machine, an appliance, a pi…",,,missing
word_giáo dục,giáo dục,education,,,missing
word_ảnh hưởng,ảnh hưởng,to influence; influence,,,missing
word_chính phủ,chính phủ,government,,,missing
word_xử lý,xử lý,Alternative spelling of xử lí,,,missing
word_quá trình,quá trình,process,,,missing
word_phát hiện,phát hiện,to discover; to find out,,,missing
word_môi trường,môi trường,environmental; surrounding; environment,,,missing
word_điều kiện,điều kiện,"condition, terms",,,missing
word_giá trị,giá trị,"value, worth; value",,,missing
word_địa phương,địa phương,local / locality,,,missing
word_hình ảnh,hình ảnh,form and shadow; image; picture; photograph,,,missing
word_đơn giản,đơn giản,simple (uncomplicated),,,missing
word_báo cáo,báo cáo,to report / report,,,missing
word_cố gắng,cố gắng,to try hard,,,missing
word_bản thân,bản thân,oneself,,,missing
word_quốc tế,quốc tế,international,,,missing
word_trách nhiệm,trách nhiệm,responsibility or accountability; liability,,,missing
word_máy bay,máy bay,"aircraft, (specifically) airplane",,,missing
word_tấn công,tấn công,to attack; to offend,,,missing
word_phù hợp,phù hợp,"to accord, to agree; appropriate; fitting",,,missing
word_tập trung,tập trung,to gather (at a particular location),,,missing
word_hy vọng,hy vọng,to hope / hope,,,missing
word_chính xác,chính xác,correctly; precisely; exactly; accurately,,,missing
word_tất nhiên,tất nhiên,of course,,,missing
word_đảm bảo,đảm bảo,to guarantee; to assure,,,missing
word_nhà nước,nhà nước,state (a political entity that regulates society and the p…,,,missing
word_cảm giác,cảm giác,feeling / sensation,,,missing
word_thực tế,thực tế,"in reality; real, actual; realistic, practical",,,missing
word_lao động,lao động,to toil; to labour; to do physical labour,,,missing
word_lãnh đạo,lãnh đạo,leader / to lead,,,missing
word_cá nhân,cá nhân,"individual, personal; individual; person",,,missing
word_cán bộ,cán bộ,"you, a government employee",,,missing
word_câu chuyện,câu chuyện,"a story; tale; matter, affair, subject",,,missing
word_mục tiêu,mục tiêu,"goal, objective, target",,,missing
word_phục vụ,phục vụ,to serve / service staff,,,missing
word_hạnh phúc,hạnh phúc,happiness / happy,,,missing
word_nội dung,nội dung,content,,,missing
word_nhân viên,nhân viên,employee,,,missing
word_chia sẻ,chia sẻ,to share,,,missing
word_bình thường,bình thường,normally; usually; normal; ordinary,,,missing
word_giới thiệu,giới thiệu,to introduce,,,missing
word_nhu cầu,nhu cầu,need; demand,,,missing
word_nhân dân,nhân dân,"people, population",,,missing
word_thành viên,thành viên,member,,,missing
word_rõ ràng,rõ ràng,clear / obvious,,,missing
word_Pháp,Pháp,France (a country located primarily in Western Europe),,,missing
word_cơ thể,cơ thể,"human body, organism",,,missing
word_chết tiệt,chết tiệt,damn; fucking,,,missing
word_tình trạng,tình trạng,situation; condition; state,,,missing
word_bệnh viện,bệnh viện,hospital,,,missing
word_thời điểm,thời điểm,point in/of time; timing; date,,,missing
word_may mắn,may mắn,lucky / luck,,,missing
word_trở nên,trở nên,to become,,,missing
word_tình yêu,tình yêu,love; passion,,,missing
word_toàn bộ,toàn bộ,"entire, whole; everything, all",,,missing
word_dễ dàng,dễ dàng,easy / easily,,,missing
word_tìm kiếm,tìm kiếm,to look for; to search (for); to seek,,,missing
word_nguy hiểm,nguy hiểm,dangerous,,,missing
word_sự thật,sự thật,relevant fact or truth,,,missing
word_chăm sóc,chăm sóc,to look after; to take care of,,,missing
word_lịch sử,lịch sử,historical; historic,,,missing
word_văn phòng,văn phòng,office (room used for non-manual work),,,missing
word_hồ sơ,hồ sơ,application file,,,missing
word_Việt,Việt,of Yue origin; Vietic,,,missing
word_chú ý,chú ý,to notice; to take note of; to focus on,,,missing
word_trực tiếp,trực tiếp,directly; live; direct; straight; in person,,,missing
word_hành động,hành động,action / to act,,,missing
