ID,Vietnamese_Text,English_Text,Vietnamese_Sound
concept_c1_xincho,xin chào,hello,
concept_c1_cmn,cảm ơn,thank you,
concept_c1_vng,vâng,yes,
concept_c1_nc,nước,water,
concept_c1_cm,cơm,cooked rice,
concept_c1_nh,nhà,house,
concept_c1_n,ăn,to eat,
concept_c1_,đã,already (past),
concept_c1_s,sẽ,will (future),
concept_c1_bn,bạn,friend / you,
concept_c1_khng,không,no / not,
concept_c1_i,đi,to go,
concept_c3_Emchoanh,Em chào anh.,Hello (said by a younger person to an older man).,
concept_c3_Chomnhncnha,Cho mình nước nha.,"Get me some water, please (used with a peer).",
concept_c3_Tilhcsinh,Tôi là học sinh.,I am a student (neutral and formal).,
concept_c4_Dkhngemkhnghiu,"Dạ không, em không hiểu ạ.","No, I don't understand.",
concept_c4_Emhiucha,Em hiểu chưa?,Do you understand yet?,
concept_c4_Tichan,Tôi chưa ăn.,I have not eaten yet.,
concept_c5_Tiungcph,Tôi uống cà phê.,I drink coffee.,
concept_c5_MnhntM,Mình đến từ Mỹ.,I come from America.,
concept_c6_Bncng,Bạn cần gì?,What do you need?,
concept_c6_Gatuu,Ga tàu ở đâu?,Where is the train station?,
concept_c6_Bnlai,Bạn là ai?,Who are you?,
concept_c7_kia,Ở kia ạ.,It is over there.,
concept_c7_MnhsngHNi,Mình sống ở Hà Nội.,I live in Hanoi.,
concept_c7_Cynh,Cô ấy ở nhà.,She is at home.,
concept_c8_haicccph,hai cốc cà phê,two cups of coffee,
concept_c8_mtcibnhngt,một cái bánh ngọt,one pastry,
concept_c8_bacibn,ba cái bàn,three tables,
concept_c9_khng,không,zero,
concept_c9_mt,một,one,
concept_c9_hai,hai,two,
concept_c9_ba,ba,three,
concept_c9_bn,bốn,four,
concept_c9_nm,năm,five,
concept_c9_su,sáu,six,
concept_c9_by,bảy,seven,
concept_c9_tm,tám,eight,
concept_c9_chn,chín,nine,
concept_c9_mi,mười,ten,
concept_c9_mimt,mười một,eleven,
concept_c9_mihai,mười hai,twelve,
concept_c9_milm,mười lăm,fifteen,
concept_c9_haimi,hai mươi,twenty,
concept_c9_haimimt,hai mươi mốt,twenty-one,
concept_c9_bami,ba mươi,thirty,
concept_c9_bamilm,ba mươi lăm,thirty-five,
concept_c9_bnmi,bốn mươi,forty,
concept_c9_nmmi,năm mươi,fifty,
concept_c9_sumi,sáu mươi,sixty,
concept_c9_bymi,bảy mươi,seventy,
concept_c9_tmmi,tám mươi,eighty,
concept_c9_chnmi,chín mươi,ninety,
concept_c9_mttrm,một trăm,one hundred,
concept_c9_haitrmnmmi,hai trăm năm mươi,two hundred fifty,
concept_c9_mtnghn,một nghìn,one thousand,
concept_c9_minghn,mười nghìn,ten thousand,
concept_c9_mttrmnghn,một trăm nghìn,one hundred thousand,
concept_c9_mttriu,một triệu,one million,
concept_c10_Demhiu,"Dạ, em hiểu ạ.","Yes, I understand.",
concept_c10_Anhithngnh,Anh đi thẳng nhé.,"Go straight, okay?",
concept_c10_Dc,Dạ có.,Yes (respectful).,
concept_c11_MnhlAnna,Mình là Anna.,I am Anna.,
concept_c11_MnhlNam,Mình là Nam.,I am Nam.,
concept_c11_Cylgiovin,Cô ấy là giáo viên.,She is a teacher.,
concept_c12_MnhangsngSiGn,Mình đang sống ở Sài Gòn.,I am living in Saigon.,
concept_c12_Cyangnph,Cô ấy đang ăn phở.,She is eating pho.,
