ID,Vietnamese_Text,English_Text,Vietnamese_Sound
chat_business_0_opener,Mời bạn giới thiệu bản thân,Please introduce yourself,
chat_business_0_t0_them,Vì sao bạn muốn làm việc ở đây?,Why do you want to work here?,
chat_business_0_t0_you0,"Dạ, tôi tên là..., tôi có 3 năm kinh nghiệm trong ngành này","My name is..., I have 3 years of experience in this field",
chat_business_0_t0_you1,Tôi không biết nói gì,I don't know what to say,
chat_business_0_t0_you2,Đọc CV của tôi đi,Just read my resume,
chat_business_0_t1_them,Bạn có câu hỏi gì cho chúng tôi không?,Do you have any questions for us?,
chat_business_0_t1_you0,Tôi rất thích văn hoá và sản phẩm của công ty,I really admire the company's culture and products,
chat_business_0_t1_you1,Vì lương cao,Because the pay is good,
chat_business_0_t1_you2,Tôi cũng chưa chắc,I'm not sure either,
chat_business_0_t2_them,Câu hỏi hay đó! Chúng tôi sẽ liên hệ trong tuần này,Great question! We'll be in touch this week,
chat_business_0_t2_you0,"Dạ có, văn hoá làm việc ở đây như thế nào ạ?","Yes, what's the work culture like here?",
chat_business_0_t2_you1,Không có câu hỏi gì,No questions,
chat_business_0_t2_you2,Khi nào tôi biết kết quả?,When will I hear back?,
chat_business_0_t3_them,Cảm ơn bạn đã đến phỏng vấn nhé,Thank you for coming in today,
chat_business_0_t3_you0,"Dạ, cảm ơn anh/chị đã dành thời gian",Thank you for your time,
chat_business_0_t3_you1,Vậy thôi hả?,That's it?,
chat_business_0_t3_you2,Tôi chắc chắn được nhận,I'm sure I'll get hired,
chat_business_1_opener,Cảm ơn đã dành thời gian gặp chúng tôi hôm nay,Thanks for meeting with us today,
chat_business_1_t0_them,Vậy chúng ta bắt đầu với ngân sách dự án nhé,Let's start with the project budget then,
chat_business_1_t0_you0,"Dạ, rất vui được hợp tác cùng anh/chị",Happy to be working with you,
chat_business_1_t0_you1,Vào việc luôn đi,Let's just get to it,
chat_business_1_t0_you2,Tôi hơi bận,I'm a bit busy,
chat_business_1_t1_them,"Được, vậy thời gian hoàn thành dự kiến là khi nào?","Okay, and what's the expected timeline?",
chat_business_1_t1_you0,"Dạ, ngân sách dự kiến của chúng tôi là...",Our projected budget is...,
chat_business_1_t1_you1,Ngân sách tuỳ anh/chị thôi,The budget is up to you,
chat_business_1_t1_you2,Chuyện đó tính sau đi,Let's figure that out later,
chat_business_1_t2_them,Nghe hợp lý đó. Chúng ta ký hợp đồng khi nào?,That sounds reasonable. When do we sign the contract?,
chat_business_1_t2_you0,Chúng tôi dự kiến hoàn thành trong 2 tháng,We expect to finish in 2 months,
chat_business_1_t2_you1,"Nhanh thì được, chậm cũng được","Fast is fine, slow is also fine",
chat_business_1_t2_you2,Không chắc được,Can't be sure,
chat_business_1_t3_them,"Tuyệt vời, chúng tôi rất mong hợp tác","Excellent, we look forward to working together",
chat_business_1_t3_you0,Chúng tôi có thể gửi hợp đồng trong tuần này,We can send the contract this week,
chat_business_1_t3_you1,Từ từ đã,Slow down,
chat_business_1_t3_you2,Anh/chị ký trước đi,You sign first,
chat_dating_0_opener,Tối nay rảnh không? Đi ăn phở cùng đi!,Free tonight? Let's get phở together!,
chat_dating_0_t0_them,"Bảy giờ tối nhé, ở quán quen","7pm, at our usual spot",
chat_dating_0_t0_you0,Rảnh! Mấy giờ gặp nhau?,Free! What time shall we meet?,
chat_dating_0_t0_you1,"Xin lỗi, tôi bận","Sorry, I'm busy",
chat_dating_0_t0_you2,Phở ở đâu ngon?,Where's good phở?,
chat_dating_0_t1_them,Hẹn gặp lại nha!,See you then!,
chat_dating_0_t1_you0,"Được, hẹn gặp lại","Sounds good, see you then",
chat_dating_0_t1_you1,Tôi không muốn đi,I don't want to go,
chat_dating_0_t1_you2,Mặc gì đi ăn phở vậy?,What should I wear to eat phở?,
chat_dating_0_t2_them,"Không sao, mình đợi bạn","No problem, I'll wait for you",
chat_dating_0_t2_you0,Tôi đến hơi trễ chút được không?,Can I arrive a little late?,
chat_dating_0_t2_you1,Chắc tôi không đến kịp đâu,I probably won't make it in time,
chat_dating_0_t2_you2,"Bạn đợi tôi nhé, đừng ăn trước","Wait for me, don't eat first",
chat_dating_0_t3_them,"Không sao đâu, ăn thôi!","No worries, let's eat!",
chat_dating_0_t3_you0,Cảm ơn bạn đã đợi,Thanks for waiting,
chat_dating_0_t3_you1,"Muộn thì muộn, ăn thôi","Late is late, let's just eat",
chat_dating_0_t3_you2,Lần sau tôi sẽ đến sớm hơn... có lẽ,Next time I'll come earlier... maybe,
chat_dating_1_opener,Bạn thích uống gì?,What do you like to drink?,
chat_dating_1_t0_them,Bạn dễ thương quá,You're so charming,
chat_dating_1_t0_you0,"Cho tôi cà phê sữa đá, cảm ơn","Iced milk coffee for me, thanks",
chat_dating_1_t0_you1,Tôi không biết bạn là ai,I don't know who you are,
