language,rank,headword,english_definition,english_translation,lemma,frequency,frequency_unit,pos,pronunciation,romanization,source,source_id,source_quality,milestone,word_unit,source_rank,annotation_source,translation_lemma,translation_method,translation_quality,translation_source,definition_lemma,definition_method,definition_source
cmn,1,的,"of; ~'s (possessive particle); (used after an attribute when it modifies a noun); (used at the end of a declarative sentence for emphasis); (used after a noun, verb or adjective to form a nominal expression, as in 皮革的[pi2 ge2 de5] ""one made of leather"" or 跑堂兒的|跑堂儿的[pao3 tang2 r5 de5] ""a waiter (literally, one who runs back and forth in a restaurant)"" or 新的[xin1 de5] ""new one"")","of; ~'s (possessive particle); (used after an attribute when it modifies a noun); (used at the end of a declarative sentence for emphasis); (used after a noun, verb or adjective to form a nominal expression, as in 皮革的[pi2 ge2 de5] ""one made of leather"" or 跑堂兒的|跑堂儿的[pao3 tang2 r5 de5] ""a waiter (literally, one who runs back and forth in a restaurant)"" or 新的[xin1 de5] ""new one"")",,3957141,count,,,de5 | di1 | di2 | di4,https://github.com/hermitdave/FrequencyWords/blob/master/content/2018/zh_cn/zh_cn_50k.txt,frequencywords_2018_zh_cn,media_proxy,500,segmented_word,1,https://www.mdbg.net/chinese/dictionary?page=cc-cedict,的,cc_cedict_headword,dictionary_gloss,https://www.mdbg.net/chinese/dictionary?page=cc-cedict,的,source_dictionary_gloss,https://www.mdbg.net/chinese/dictionary?page=cc-cedict
cmn,2,我,I; me; my,I; me; my,,3669472,count,,,wo3,https://github.com/hermitdave/FrequencyWords/blob/master/content/2018/zh_cn/zh_cn_50k.txt,frequencywords_2018_zh_cn,media_proxy,500,segmented_word,2,https://www.mdbg.net/chinese/dictionary?page=cc-cedict,我,cc_cedict_headword,dictionary_gloss,https://www.mdbg.net/chinese/dictionary?page=cc-cedict,我,source_dictionary_gloss,https://www.mdbg.net/chinese/dictionary?page=cc-cedict
cmn,3,你,"you (informal, as opposed to courteous 您[nin2]); you (Note: In Taiwan, 妳 is used to address females, but in mainland China, it is not commonly used. Instead, 你 is used to address both males and females.)","you (informal, as opposed to courteous 您[nin2]); you (Note: In Taiwan, 妳 is used to address females, but in mainland China, it is not commonly used. Instead, 你 is used to address both males and females.)",,3282942,count,,,ni3,https://github.com/hermitdave/FrequencyWords/blob/master/content/2018/zh_cn/zh_cn_50k.txt,frequencywords_2018_zh_cn,media_proxy,500,segmented_word,3,https://www.mdbg.net/chinese/dictionary?page=cc-cedict,你,cc_cedict_headword,dictionary_gloss,https://www.mdbg.net/chinese/dictionary?page=cc-cedict,你,source_dictionary_gloss,https://www.mdbg.net/chinese/dictionary?page=cc-cedict
cmn,4,了,"(completed action marker); (modal particle indicating change of state, situation now); (modal particle intensifying preceding clause); to finish","(completed action marker); (modal particle indicating change of state, situation now); (modal particle intensifying preceding clause); to finish",,2141739,count,,,le5 | liao3 | liao4,https://github.com/hermitdave/FrequencyWords/blob/master/content/2018/zh_cn/zh_cn_50k.txt,frequencywords_2018_zh_cn,media_proxy,500,segmented_word,4,https://www.mdbg.net/chinese/dictionary?page=cc-cedict,了,cc_cedict_headword,dictionary_gloss,https://www.mdbg.net/chinese/dictionary?page=cc-cedict,了,source_dictionary_gloss,https://www.mdbg.net/chinese/dictionary?page=cc-cedict
cmn,5,是,to be (followed by substantives only); correct; right; true; (respectful acknowledgement of a command) very well; (adverb for emphatic assertion),to be (followed by substantives only); correct; right; true; (respectful acknowledgement of a command) very well; (adverb for emphatic assertion),,1670639,count,,,shi4,https://github.com/hermitdave/FrequencyWords/blob/master/content/2018/zh_cn/zh_cn_50k.txt,frequencywords_2018_zh_cn,media_proxy,500,segmented_word,5,https://www.mdbg.net/chinese/dictionary?page=cc-cedict,是,cc_cedict_headword,dictionary_gloss,https://www.mdbg.net/chinese/dictionary?page=cc-cedict,是,source_dictionary_gloss,https://www.mdbg.net/chinese/dictionary?page=cc-cedict
cmn,6,在,to exist; to be alive; (of sb or sth) to be (located) at; (used before a verb to indicate an action in progress),to exist; to be alive; (of sb or sth) to be (located) at; (used before a verb to indicate an action in progress),,1023023,count,,,zai4,https://github.com/hermitdave/FrequencyWords/blob/master/content/2018/zh_cn/zh_cn_50k.txt,frequencywords_2018_zh_cn,media_proxy,500,segmented_word,6,https://www.mdbg.net/chinese/dictionary?page=cc-cedict,在,cc_cedict_headword,dictionary_gloss,https://www.mdbg.net/chinese/dictionary?page=cc-cedict,在,source_dictionary_gloss,https://www.mdbg.net/chinese/dictionary?page=cc-cedict
cmn,7,他,"(third-person singular) (since the early 20th century, usu. male) he; him; his; (bound form) other; another; some other (as in 他日[ta1 ri4] and 他人[ta1 ren2])","(third-person singular) (since the early 20th century, usu. male) he; him; his; (bound form) other; another; some other (as in 他日[ta1 ri4] and 他人[ta1 ren2])",,904210,count,,,ta1,https://github.com/hermitdave/FrequencyWords/blob/master/content/2018/zh_cn/zh_cn_50k.txt,frequencywords_2018_zh_cn,media_proxy,500,segmented_word,7,https://www.mdbg.net/chinese/dictionary?page=cc-cedict,他,cc_cedict_headword,dictionary_gloss,https://www.mdbg.net/chinese/dictionary?page=cc-cedict,他,source_dictionary_gloss,https://www.mdbg.net/chinese/dictionary?page=cc-cedict
cmn,8,我们,we; us; ourselves; our,we; us; ourselves; our,,827393,count,,,wo3 men5,https://github.com/hermitdave/FrequencyWords/blob/master/content/2018/zh_cn/zh_cn_50k.txt,frequencywords_2018_zh_cn,media_proxy,500,segmented_word,8,https://www.mdbg.net/chinese/dictionary?page=cc-cedict,我们,cc_cedict_headword,dictionary_gloss,https://www.mdbg.net/chinese/dictionary?page=cc-cedict,我们,source_dictionary_gloss,https://www.mdbg.net/chinese/dictionary?page=cc-cedict
cmn,9,不,no; not so; (bound form) not; un-,no; not so; (bound form) not; un-,,725410,count,,,bu4,https://github.com/hermitdave/FrequencyWords/blob/master/content/2018/zh_cn/zh_cn_50k.txt,frequencywords_2018_zh_cn,media_proxy,500,segmented_word,9,https://www.mdbg.net/chinese/dictionary?page=cc-cedict,不,cc_cedict_headword,dictionary_gloss,https://www.mdbg.net/chinese/dictionary?page=cc-cedict,不,source_dictionary_gloss,https://www.mdbg.net/chinese/dictionary?page=cc-cedict
cmn,10,吗,"(coll.) what?; used in 嗎啡|吗啡[ma3 fei1]; (question particle for ""yes-no"" questions)","(coll.) what?; used in 嗎啡|吗啡[ma3 fei1]; (question particle for ""yes-no"" questions)",,652753,count,,,ma2 | ma3 | ma5,https://github.com/hermitdave/FrequencyWords/blob/master/content/2018/zh_cn/zh_cn_50k.txt,frequencywords_2018_zh_cn,media_proxy,500,segmented_word,10,https://www.mdbg.net/chinese/dictionary?page=cc-cedict,吗,cc_cedict_headword,dictionary_gloss,https://www.mdbg.net/chinese/dictionary?page=cc-cedict,吗,source_dictionary_gloss,https://www.mdbg.net/chinese/dictionary?page=cc-cedict
cmn,11,好,good; appropriate; proper; all right!; (before a verb) easy to,good; appropriate; proper; all right!; (before a verb) easy to,,558010,count,,,hao3 | hao4,https://github.com/hermitdave/FrequencyWords/blob/master/content/2018/zh_cn/zh_cn_50k.txt,frequencywords_2018_zh_cn,media_proxy,500,segmented_word,11,https://www.mdbg.net/chinese/dictionary?page=cc-cedict,好,cc_cedict_headword,dictionary_gloss,https://www.mdbg.net/chinese/dictionary?page=cc-cedict,好,source_dictionary_gloss,https://www.mdbg.net/chinese/dictionary?page=cc-cedict
cmn,12,什么,what?; something; anything,what?; something; anything,,534934,count,,,shen2 me5,https://github.com/hermitdave/FrequencyWords/blob/master/content/2018/zh_cn/zh_cn_50k.txt,frequencywords_2018_zh_cn,media_proxy,500,segmented_word,12,https://www.mdbg.net/chinese/dictionary?page=cc-cedict,什么,cc_cedict_headword,dictionary_gloss,https://www.mdbg.net/chinese/dictionary?page=cc-cedict,什么,source_dictionary_gloss,https://www.mdbg.net/chinese/dictionary?page=cc-cedict
cmn,13,有,to have; there is; (bound form) having; with; -ful; -ed; -al (as in 有意[you3 yi4] intentional),to have; there is; (bound form) having; with; -ful; -ed; -al (as in 有意[you3 yi4] intentional),,511680,count,,,you3,https://github.com/hermitdave/FrequencyWords/blob/master/content/2018/zh_cn/zh_cn_50k.txt,frequencywords_2018_zh_cn,media_proxy,500,segmented_word,13,https://www.mdbg.net/chinese/dictionary?page=cc-cedict,有,cc_cedict_headword,dictionary_gloss,https://www.mdbg.net/chinese/dictionary?page=cc-cedict,有,source_dictionary_gloss,https://www.mdbg.net/chinese/dictionary?page=cc-cedict
cmn,14,就,(after a suppositional clause) in that case; then; (after a clause of action) as soon as; immediately after; (same as 就是[jiu4 shi4]) merely; nothing else but; simply; just; precisely; exactly; only; as little as,(after a suppositional clause) in that case; then; (after a clause of action) as soon as; immediately after; (same as 就是[jiu4 shi4]) merely; nothing else but; simply; just; precisely; exactly; only; as little as,,504482,count,,,jiu4,https://github.com/hermitdave/FrequencyWords/blob/master/content/2018/zh_cn/zh_cn_50k.txt,frequencywords_2018_zh_cn,media_proxy,500,segmented_word,14,https://www.mdbg.net/chinese/dictionary?page=cc-cedict,就,cc_cedict_headword,dictionary_gloss,https://www.mdbg.net/chinese/dictionary?page=cc-cedict,就,source_dictionary_gloss,https://www.mdbg.net/chinese/dictionary?page=cc-cedict
